Timestamp,FL,FR,RL,RR
2026-08-20T10:00:01,238.56,246.27,325.09,348.55
2026-08-20T10:00:02,240.51,234.81,277.81,269.2
2026-08-20T10:00:03,241.4,252.72,278.99,288.64
2026-08-20T10:00:04,251.91,254.45,269.72,264.75
2026-08-20T10:00:05,249.57,268.22,281.43,277.88
2026-08-20T10:00:06,254.18,242.33,279.51,287.25
2026-08-20T10:00:07,259.34,256.2,290.09,286.53
2026-08-20T10:00:08,260.15,249.2,294.67,267.53
2026-08-20T10:00:09,227.84,255.97,279.11,298.35
2026-08-20T10:00:10,262.36,251.53,302.48,277.9
2026-08-20T10:00:11,256.51,262.44,295.86,301.8
2026-08-20T10:00:12,265.39,270.51,304.43,299.74
2026-08-20T10:00:13,254.34,261.43,293.08,301.96
2026-08-20T10:00:14,259.67,293.53,290.94,284.71
2026-08-20T10:00:15,271.39,285.93,308.85,309.8
2026-08-20T10:00:16,279.47,272.27,287.66,295.21
2026-08-20T10:00:17,276.19,260.23,307.04,306.41
2026-08-20T10:00:18,264.92,283.32,315.45,332.95
2026-08-20T10:00:19,275.65,271.36,303.53,296.78
2026-08-20T10:00:20,280.3,273.11,311.15,317.35
2026-08-20T10:00:21,264.82,277.12,291.57,296.92
2026-08-20T10:00:22,267.61,285.45,329.58,311.16
2026-08-20T10:00:23,277.08,284.15,329.82,323.52
2026-08-20T10:00:24,278.34,273.49,329.11,318.72
2026-08-20T10:00:25,288.94,284.37,343.1,311.12
2026-08-20T10:00:26,293.62,286.84,314.8,303.09
2026-08-20T10:00:27,277.14,300.89,332.05,326.03
2026-08-20T10:00:28,255.8,294.67,330.1,312.23
2026-08-20T10:00:29,274.13,288.38,345.24,307.16
2026-08-20T10:00:30,276.92,302.81,320.22,316.37
2026-08-20T10:00:31,282.9,277.51,329.17,307.06
2026-08-20T10:00:32,291.44,290.62,354.81,325.71
2026-08-20T10:00:33,296.85,278.17,326.74,326.91
2026-08-20T10:00:34,301.2,274.93,340.82,330.74
2026-08-20T10:00:35,299.56,299.35,330.2,317.91
2026-08-20T10:00:36,272.17,294.6,327.84,348.87
2026-08-20T10:00:37,278.9,296.21,311.8,320.26
2026-08-20T10:00:38,287.92,301.55,348.41,324.78
2026-08-20T10:00:39,274.37,298.12,337.56,331.43
2026-08-20T10:00:40,278.72,305.06,332.66,334.08
2026-08-20T10:00:41,298.58,299.93,335.22,351.58
2026-08-20T10:00:42,288.33,290.94,333.22,343.54
2026-08-20T10:00:43,287.08,299.09,346.24,319.51
2026-08-20T10:00:44,268.57,296.83,334.59,318.22
2026-08-20T10:00:45,294.42,299.79,319.76,331.5
2026-08-20T10:00:46,283.58,278.71,336.92,324.45
2026-08-20T10:00:47,277.86,298.54,337.06,317.69
2026-08-20T10:00:48,289.03,303.18,322.3,328.75
2026-08-20T10:00:49,284.72,315.35,308.09,332.02
2026-08-20T10:00:50,281.24,291.3,352.76,323.0
2026-08-20T10:00:51,306.28,287.45,333.59,316.58
2026-08-20T10:00:52,276.48,292.01,325.37,324.2
2026-08-20T10:00:53,261.8,310.88,326.07,341.93
2026-08-20T10:00:54,272.21,293.2,365.31,309.76
2026-08-20T10:00:55,266.71,284.2,332.19,327.64
2026-08-20T10:00:56,293.91,286.44,306.43,313.17
2026-08-20T10:00:57,292.71,292.97,301.26,316.99
2026-08-20T10:00:58,293.56,308.84,330.51,320.09
2026-08-20T10:00:59,266.41,278.38,323.31,321.33
2026-08-20T10:01:00,283.82,281.23,307.85,304.84
2026-08-20T10:01:01,265.62,291.62,292.81,309.0
2026-08-20T10:01:02,280.83,299.55,320.25,323.8
2026-08-20T10:01:03,271.46,276.01,310.1,328.87
2026-08-20T10:01:04,284.49,287.42,356.91,308.87
2026-08-20T10:01:05,279.82,284.7,313.01,335.73
2026-08-20T10:01:06,287.74,266.68,309.56,311.73
2026-08-20T10:01:07,279.55,266.23,285.95,282.33
2026-08-20T10:01:08,270.03,277.71,370.78,294.57
2026-08-20T10:01:09,257.51,257.52,314.19,306.82
2026-08-20T10:01:10,278.69,284.66,306.53,317.12
2026-08-20T10:01:11,266.39,269.15,301.13,292.45
2026-08-20T10:01:12,245.09,276.31,308.91,293.64
2026-08-20T10:01:13,258.6,277.45,325.04,296.95
2026-08-20T10:01:14,259.65,266.81,302.11,279.81
2026-08-20T10:01:15,262.46,272.32,323.58,304.8
2026-08-20T10:01:16,273.05,263.58,307.97,278.29
2026-08-20T10:01:17,264.83,273.89,289.21,314.43
2026-08-20T10:01:18,266.39,249.69,303.52,284.03
2026-08-20T10:01:19,259.74,272.39,300.05,262.93
2026-08-20T10:01:20,247.18,274.48,309.45,308.72
2026-08-20T10:01:21,275.83,245.24,301.55,261.37
2026-08-20T10:01:22,272.99,267.39,277.11,306.98
2026-08-20T10:01:23,262.37,245.02,292.81,272.59
2026-08-20T10:01:24,256.13,258.37,304.27,262.81
2026-08-20T10:01:25,257.31,280.27,276.37,280.94
2026-08-20T10:01:26,255.28,254.37,292.59,278.13
2026-08-20T10:01:27,242.98,278.04,292.85,273.52
2026-08-20T10:01:28,245.23,251.75,296.68,272.35
2026-08-20T10:01:29,255.4,256.96,287.87,271.32
2026-08-20T10:01:30,257.67,256.2,289.01,279.4
2026-08-20T10:01:31,248.12,248.69,266.38,261.09
2026-08-20T10:01:32,238.73,265.23,275.73,287.49
2026-08-20T10:01:33,270.68,256.12,256.36,262.77
2026-08-20T10:01:34,246.47,240.34,270.61,269.51
2026-08-20T10:01:35,242.0,246.91,263.2,286.25
2026-08-20T10:01:36,244.4,245.7,266.56,275.04
2026-08-20T10:01:37,238.58,258.24,278.51,271.38
2026-08-20T10:01:38,258.88,247.38,282.14,251.71
2026-08-20T10:01:39,240.41,264.34,277.22,260.12
2026-08-20T10:01:40,231.99,257.52,258.62,247.9
2026-08-20T10:01:41,236.97,253.92,239.58,262.24
2026-08-20T10:01:42,244.78,245.19,276.36,264.2
2026-08-20T10:01:43,236.59,243.95,271.17,237.66
2026-08-20T10:01:44,238.97,243.98,262.61,257.4
2026-08-20T10:01:45,242.33,261.31,263.48,250.14
2026-08-20T10:01:46,229.55,256.88,266.08,270.4
2026-08-20T10:01:47,233.92,249.66,258.06,251.05
2026-08-20T10:01:48,241.25,232.0,267.71,259.08
2026-08-20T10:01:49,252.23,271.42,253.06,249.97
2026-08-20T10:01:50,240.83,268.15,235.22,255.43
2026-08-20T10:01:51,225.85,222.75,230.88,232.24
2026-08-20T10:01:52,251.11,239.73,251.55,234.11
2026-08-20T10:01:53,246.4,237.27,269.27,235.43
2026-08-20T10:01:54,232.54,249.41,252.96,333.75
2026-08-20T10:01:55,241.3,236.02,245.17,239.1
2026-08-20T10:01:56,247.28,251.87,249.71,255.76
2026-08-20T10:01:57,234.7,246.62,252.58,263.04
2026-08-20T10:01:58,238.96,244.44,237.15,252.33
2026-08-20T10:01:59,234.05,251.36,226.19,256.03
2026-08-20T10:02:00,226.59,240.14,261.03,226.93
2026-08-20T10:02:01,239.12,248.65,235.69,258.51
2026-08-20T10:02:02,254.91,228.2,229.64,251.56
2026-08-20T10:02:03,226.9,244.05,247.95,249.65
2026-08-20T10:02:04,237.72,248.9,236.46,256.35
2026-08-20T10:02:05,235.02,251.37,239.03,241.63
2026-08-20T10:02:06,238.32,246.38,232.41,249.43
2026-08-20T10:02:07,254.17,250.46,252.78,249.46
2026-08-20T10:02:08,249.33,251.08,245.95,249.31
2026-08-20T10:02:09,240.76,238.33,243.12,215.82
2026-08-20T10:02:10,240.02,252.22,257.09,239.85
2026-08-20T10:02:11,249.37,248.08,229.41,220.65
2026-08-20T10:02:12,230.39,234.43,248.73,234.65
2026-08-20T10:02:13,245.78,248.81,253.09,249.42
2026-08-20T10:02:14,233.6,245.31,233.6,216.8
2026-08-20T10:02:15,246.77,259.91,294.35,229.89
2026-08-20T10:02:16,250.88,224.52,240.98,237.08
2026-08-20T10:02:17,234.19,261.82,249.93,231.78
2026-08-20T10:02:18,238.95,243.93,231.55,218.76
2026-08-20T10:02:19,253.51,257.99,246.69,220.86
2026-08-20T10:02:20,260.39,267.39,238.77,222.67
2026-08-20T10:02:21,230.77,251.62,224.95,232.63
2026-08-20T10:02:22,250.15,232.2,259.37,251.36
2026-08-20T10:02:23,226.7,232.94,231.27,219.68
2026-08-20T10:02:24,236.22,221.04,231.3,253.18
2026-08-20T10:02:25,227.44,243.88,215.52,238.68
2026-08-20T10:02:26,236.08,265.74,235.22,226.02
2026-08-20T10:02:27,243.54,240.97,215.99,233.57
2026-08-20T10:02:28,235.96,247.37,235.89,223.26
2026-08-20T10:02:29,241.57,262.73,217.39,249.65
2026-08-20T10:02:30,234.54,237.3,259.1,230.07
2026-08-20T10:02:31,250.25,252.72,209.08,229.06
2026-08-20T10:02:32,230.85,230.68,207.24,228.21
2026-08-20T10:02:33,241.52,247.53,224.08,216.77
2026-08-20T10:02:34,225.24,237.56,214.58,223.26
2026-08-20T10:02:35,234.35,233.61,223.41,215.91
2026-08-20T10:02:36,233.96,247.08,227.54,230.02
2026-08-20T10:02:37,216.89,237.62,227.91,231.35
2026-08-20T10:02:38,216.8,242.37,238.24,220.8
2026-08-20T10:02:39,231.17,244.62,225.89,230.32
2026-08-20T10:02:40,232.15,240.95,212.69,219.44
2026-08-20T10:02:41,243.24,236.67,219.2,214.84
2026-08-20T10:02:42,237.84,229.42,231.28,208.73
2026-08-20T10:02:43,218.62,239.26,221.04,222.77
2026-08-20T10:02:44,239.03,232.28,223.91,207.5
2026-08-20T10:02:45,240.17,241.91,224.13,219.88
2026-08-20T10:02:46,218.88,231.46,222.82,216.59
2026-08-20T10:02:47,227.11,220.27,218.06,207.71
2026-08-20T10:02:48,214.15,231.43,192.7,223.59
2026-08-20T10:02:49,232.59,231.54,202.15,203.05
2026-08-20T10:02:50,221.63,206.91,215.33,221.54
2026-08-20T10:02:51,219.08,225.26,214.43,216.96
2026-08-20T10:02:52,232.18,229.43,203.07,206.4
2026-08-20T10:02:53,222.09,243.83,206.6,198.48
2026-08-20T10:02:54,210.59,206.32,213.5,193.96
2026-08-20T10:02:55,205.96,206.53,195.24,216.31
